id,name,category,description,foundedYear,director_name,director_title,services,audience,locations,contact_phone,contact_email,contact_website,tags,memberOf,orgId,region
iglf-1,"Institut Guy-Lacombe de la Famille (IGLF)","francophonie;familles;jeunesse;bien etre;vie communautaire","Organisme francophone soutenant les familles francophones et francophiles d’Edmonton et du nord de l’Alberta, offrant des services pour le développement des enfants, adolescents et parents, le bien-être familial et l’inclusion sociale.",1998,Rihab Alaya,Directrice générale,"Bibliothèque et joujouthèque francophones;Service de garde après-école et journées pédagogiques;Camp d’été Franco-Chouette pour enfants;Camp d’été Ados pour 12-15 ans;Activités familiales et fêtes d’anniversaire en français;Location de salles communautaires;Accompagnement parental et développement familial","Familles francophones et francophiles, enfants 0-18 ans, parents","Grande Prairie|Services étendus pour le nord de l’Alberta, Grande Prairie, AB|55.170691|-118.7884808",780-468-4882,info@iglf.ca,https://institutguylacombe.ca,"famille;enfants;adolescents;éducation;francophonie;développement familial","RIFA",iglf,nord
mcg-0,"MCG Careers","emploi;carriere;formation professionnelle;ateliers","Entreprise albertaine spécialisée dans les services d’emploi, la formation professionnelle et le développement de carrière, accompagnant les chercheurs d’emploi et employeurs à travers la province avec un focus sur inclusion et autonomisation.",1989,Shannon Mervold,Directrice générale et propriétaire,"Accompagnement personnalisé pour recherche d’emploi;Rédaction de CV et lettres de motivation;Préparation aux entrevues;Orientation vers ressources adaptées;Programmes spécialisés : Anchor Point, Constructing Success, Experience Counts, Rapid Employment Services;Formations et ateliers professionnels;Support aux employeurs : salons de l’emploi, diffusion d’offres et ressources;Outils et espaces en ligne pour faciliter la recherche d’emploi","Albertains de 18 ans et plus, chercheurs d’emploi, travailleurs expérimentés, jeunes adultes, personnes en reconversion professionnelle ou avec obstacles à l’emploi","Calgary|MCG Careers, Calgary, AB|50.9550019|-114.0700603",780-448-1380,edmmcg@mcgcareers.com,https://www.mcgcareers.com,"emploi;formation;développement professionnel;jeunes adultes;inclusion;mentorats","RIFA",mcg,sud
mcg-1,"MCG Careers","emploi;carriere;formation professionnelle;ateliers","Entreprise albertaine spécialisée dans les services d’emploi, la formation professionnelle et le développement de carrière, accompagnant les chercheurs d’emploi et employeurs à travers la province avec un focus sur inclusion et autonomisation.",1989,Shannon Mervold,Directrice générale et propriétaire,"Accompagnement personnalisé pour recherche d’emploi;Rédaction de CV et lettres de motivation;Préparation aux entrevues;Orientation vers ressources adaptées;Programmes spécialisés : Anchor Point, Constructing Success, Experience Counts, Rapid Employment Services;Formations et ateliers professionnels;Support aux employeurs : salons de l’emploi, diffusion d’offres et ressources;Outils et espaces en ligne pour faciliter la recherche d’emploi","Albertains de 18 ans et plus, chercheurs d’emploi, travailleurs expérimentés, jeunes adultes, personnes en reconversion professionnelle ou avec obstacles à l’emploi","Edmonton|MCG Careers, Edmonton, AB|53.5414521|-113.502472",780-448-1380,edmmcg@mcgcareers.com,https://www.mcgcareers.com,"emploi;formation;développement professionnel;jeunes adultes;inclusion;mentorats","RIFA",mcg,centre
mcg-2,"MCG Careers","emploi;carriere;formation professionnelle;ateliers","Entreprise albertaine spécialisée dans les services d’emploi, la formation professionnelle et le développement de carrière, accompagnant les chercheurs d’emploi et employeurs à travers la province avec un focus sur inclusion et autonomisation.",1989,Shannon Mervold,Directrice générale et propriétaire,"Accompagnement personnalisé pour recherche d’emploi;Rédaction de CV et lettres de motivation;Préparation aux entrevues;Orientation vers ressources adaptées;Programmes spécialisés : Anchor Point, Constructing Success, Experience Counts, Rapid Employment Services;Formations et ateliers professionnels;Support aux employeurs : salons de l’emploi, diffusion d’offres et ressources;Outils et espaces en ligne pour faciliter la recherche d’emploi","Albertains de 18 ans et plus, chercheurs d’emploi, travailleurs expérimentés, jeunes adultes, personnes en reconversion professionnelle ou avec obstacles à l’emploi","High River|MCG Careers, High River, AB|50.5723672|-113.8712357",780-448-1380,edmmcg@mcgcareers.com,https://www.mcgcareers.com,"emploi;formation;développement professionnel;jeunes adultes;inclusion;mentorats","RIFA",mcg,sud
mcg-3,"MCG Careers","emploi;carriere;formation professionnelle;ateliers","Entreprise albertaine spécialisée dans les services d’emploi, la formation professionnelle et le développement de carrière, accompagnant les chercheurs d’emploi et employeurs à travers la province avec un focus sur inclusion et autonomisation.",1989,Shannon Mervold,Directrice générale et propriétaire,"Accompagnement personnalisé pour recherche d’emploi;Rédaction de CV et lettres de motivation;Préparation aux entrevues;Orientation vers ressources adaptées;Programmes spécialisés : Anchor Point, Constructing Success, Experience Counts, Rapid Employment Services;Formations et ateliers professionnels;Support aux employeurs : salons de l’emploi, diffusion d’offres et ressources;Outils et espaces en ligne pour faciliter la recherche d’emploi","Albertains de 18 ans et plus, chercheurs d’emploi, travailleurs expérimentés, jeunes adultes, personnes en reconversion professionnelle ou avec obstacles à l’emploi","Okotoks|MCG Careers, Okotoks, AB|50.7255247|-113.9803384",780-448-1380,edmmcg@mcgcareers.com,https://www.mcgcareers.com,"emploi;formation;développement professionnel;jeunes adultes;inclusion;mentorats","RIFA",mcg,sud
mcg-4,"MCG Careers","emploi;carriere;formation professionnelle;ateliers","Entreprise albertaine spécialisée dans les services d’emploi, la formation professionnelle et le développement de carrière, accompagnant les chercheurs d’emploi et employeurs à travers la province avec un focus sur inclusion et autonomisation.",1989,Shannon Mervold,Directrice générale et propriétaire,"Accompagnement personnalisé pour recherche d’emploi;Rédaction de CV et lettres de motivation;Préparation aux entrevues;Orientation vers ressources adaptées;Programmes spécialisés : Anchor Point, Constructing Success, Experience Counts, Rapid Employment Services;Formations et ateliers professionnels;Support aux employeurs : salons de l’emploi, diffusion d’offres et ressources;Outils et espaces en ligne pour faciliter la recherche d’emploi","Albertains de 18 ans et plus, chercheurs d’emploi, travailleurs expérimentés, jeunes adultes, personnes en reconversion professionnelle ou avec obstacles à l’emploi","Red Deer|MCG Careers, Red Deer, AB|52.26754039999999|-113.8136765",780-448-1380,edmmcg@mcgcareers.com,https://www.mcgcareers.com,"emploi;formation;développement professionnel;jeunes adultes;inclusion;mentorats","RIFA",mcg,centre
parallele-1,"Parallèle Alberta","francophonie;entrepreneuriat;emploi;carriere;formation professionnelle","Organisme dédié au développement économique des francophones en Alberta, soutenant les entrepreneurs, chercheurs d’emploi et professionnels grâce à des services adaptés, formations et opportunités de réseautage.",,Étienne Alary,Directeur général,"Accompagnement entrepreneurial personnalisé;Orientation vers des sources de financement;Formations continues (ateliers, webinaires, sessions de formation);Réseautage professionnel;Soutien à l’employabilité","Entrepreneurs, chercheurs d’emploi et communauté d’affaires francophone de l’Alberta","Edmonton|Parallèle Alberta, Edmonton, AB|53.5221962|-113.467437",Edmonton: 780-490-6975, Calgary: 403-802-0880 poste 120,info@parallele-ab.ca,https://parallele-ab.ca,"entrepreneuriat;emploi;développement économique;francophonie;formation;réseautage","RIFA",parallele,centre
parallele-2,"Parallèle Alberta","francophonie;entrepreneuriat;emploi;carriere;formation professionnelle","Organisme dédié au développement économique des francophones en Alberta, soutenant les entrepreneurs, chercheurs d’emploi et professionnels grâce à des services adaptés, formations et opportunités de réseautage.",,Étienne Alary,Directeur général,"Accompagnement entrepreneurial personnalisé;Orientation vers des sources de financement;Formations continues (ateliers, webinaires, sessions de formation);Réseautage professionnel;Soutien à l’employabilité","Entrepreneurs, chercheurs d’emploi et communauté d’affaires francophone de l’Alberta","Calgary|Parallèle Alberta, Calgary, AB|51.0411562|-114.0629964",Edmonton: 780-490-6975, Calgary: 403-802-0880 poste 120,info@parallele-ab.ca,https://parallele-ab.ca,"entrepreneuriat;emploi;développement économique;francophonie;formation;réseautage","RIFA",parallele,sud
pcb-1,"Pont Cultural Bridge (PCB)","integration;nouveaux arrivants;culture;vie communautaire;francophonie","Organisme à but non lucratif favorisant l’intégration des immigrants francophones et la cohésion interculturelle en Alberta à travers des initiatives culturelles, sportives et sociales.",2017,Mohamed Kourouma,Cofondateur et Directeur général,"Programmes culturels et artistiques (événements, concours, PCB Awards);Activités sportives pour l’intégration communautaire;Économie sociale et soutien aux entreprises locales;Événements communautaires et festivals;Soutien aux familles à faible revenu","Nouveaux arrivants francophones, communautés culturelles francophones, société albertaine en général","Edmonton|Pont Cultural Bridge, Edmonton, AB|53.51776|-113.46488",587-520-8833,contact@pontculturalbridge.ca,https://pontculturalbridge.ca/fr,"immigration;intégration;culture;sport;économie sociale;communauté;diversité","RIFA",pcb,centre
pcb-2,"Pont Cultural Bridge (PCB)","integration;nouveaux arrivants;culture;vie communautaire;francophonie","Organisme à but non lucratif favorisant l’intégration des immigrants francophones et la cohésion interculturelle en Alberta à travers des initiatives culturelles, sportives et sociales.",2017,Mohamed Kourouma,Cofondateur et Directeur général,"Programmes culturels et artistiques (événements, concours, PCB Awards);Activités sportives pour l’intégration communautaire;Économie sociale et soutien aux entreprises locales;Événements communautaires et festivals;Soutien aux familles à faible revenu","Nouveaux arrivants francophones, communautés culturelles francophones, société albertaine en général","Calgary|Pont Cultural Bridge, Calgary, AB|51.0509985|-114.0847612",587-520-8833,contact@pontculturalbridge.ca,https://pontculturalbridge.ca/fr,"immigration;intégration;culture;sport;économie sociale;communauté;diversité","RIFA",pcb,sud
prospect-1,"Prospect Human Services","emploi;formation professionnelle;ateliers;nouveaux arrivants;integration","Organisme bilingue à but non lucratif aidant les chercheurs d’emploi à surmonter les obstacles à l’emploi et soutenant les employeurs dans le recrutement, avec des services gratuits pour les résidents de l’Alberta.",,Kevin McNichol,Directeur général,"Soutien à l'emploi pour les personnes handicapées;Services pour les anciens combattants;Formation en milieu de travail;Ateliers et soutien pour chercheurs d’emploi (CV, entrevues, recherche d’emploi);Services pour les employeurs (recrutement, formation, rétention d’employés)","Personnes en recherche d’emploi (jeunes travailleurs, immigrants récents, personnes en reconversion professionnelle), employeurs et entreprises diversifiées","Airdrie|Prospect Human Services, Airdrie, AB|51.290336|-114.0147014",1-877-483-2562,info@prospectnow.ca,https://www.prospectnow.ca,"emploi;formation;recherche d’emploi;inclusion;diversité;jeunes adultes;immigrants","RIFA",prospect,sud
prospect-2,"Prospect Human Services","emploi;formation professionnelle;ateliers;nouveaux arrivants;integration","Organisme bilingue à but non lucratif aidant les chercheurs d’emploi à surmonter les obstacles à l’emploi et soutenant les employeurs dans le recrutement, avec des services gratuits pour les résidents de l’Alberta.",,Kevin McNichol,Directeur général,"Soutien à l'emploi pour les personnes handicapées;Services pour les anciens combattants;Formation en milieu de travail;Ateliers et soutien pour chercheurs d’emploi (CV, entrevues, recherche d’emploi);Services pour les employeurs (recrutement, formation, rétention d’employés)","Personnes en recherche d’emploi (jeunes travailleurs, immigrants récents, personnes en reconversion professionnelle), employeurs et entreprises diversifiées","Calgary|Prospect Human Services, Calgary Northeast, AB|51.06035929999999|-113.9866775",1-877-483-2562,info@prospectnow.ca,https://www.prospectnow.ca,"emploi;formation;recherche d’emploi;inclusion;diversité;jeunes adultes;immigrants","RIFA",prospect,sud
prospect-3,"Prospect Human Services","emploi;formation professionnelle;ateliers;nouveaux arrivants;integration","Organisme bilingue à but non lucratif aidant les chercheurs d’emploi à surmonter les obstacles à l’emploi et soutenant les employeurs dans le recrutement, avec des services gratuits pour les résidents de l’Alberta.",,Kevin McNichol,Directeur général,"Soutien à l'emploi pour les personnes handicapées;Services pour les anciens combattants;Formation en milieu de travail;Ateliers et soutien pour chercheurs d’emploi (CV, entrevues, recherche d’emploi);Services pour les employeurs (recrutement, formation, rétention d’employés)","Personnes en recherche d’emploi (jeunes travailleurs, immigrants récents, personnes en reconversion professionnelle), employeurs et entreprises diversifiées","Calgary|Prospect Human Services, Studio C, Calgary, AB|51.0273727|-114.1007071",1-877-483-2562,info@prospectnow.ca,https://www.prospectnow.ca,"emploi;formation;recherche d’emploi;inclusion;diversité;jeunes adultes;immigrants","RIFA",prospect,sud
prospect-4,"Prospect Human Services","emploi;formation professionnelle;ateliers;nouveaux arrivants;integration","Organisme bilingue à but non lucratif aidant les chercheurs d’emploi à surmonter les obstacles à l’emploi et soutenant les employeurs dans le recrutement, avec des services gratuits pour les résidents de l’Alberta.",,Kevin McNichol,Directeur général,"Soutien à l'emploi pour les personnes handicapées;Services pour les anciens combattants;Formation en milieu de travail;Ateliers et soutien pour chercheurs d’emploi (CV, entrevues, recherche d’emploi);Services pour les employeurs (recrutement, formation, rétention d’employés)","Personnes en recherche d’emploi (jeunes travailleurs, immigrants récents, personnes en reconversion professionnelle), employeurs et entreprises diversifiées","Cochrane|Prospect Human Services, Cochrane, AB|51.185091|-114.4754661",1-877-483-2562,info@prospectnow.ca,https://www.prospectnow.ca,"emploi;formation;recherche d’emploi;inclusion;diversité;jeunes adultes;immigrants","RIFA",prospect,sud
prospect-5,"Prospect Human Services","emploi;formation professionnelle;ateliers;nouveaux arrivants;integration","Organisme bilingue à but non lucratif aidant les chercheurs d’emploi à surmonter les obstacles à l’emploi et soutenant les employeurs dans le recrutement, avec des services gratuits pour les résidents de l’Alberta.",,Kevin McNichol,Directeur général,"Soutien à l'emploi pour les personnes handicapées;Services pour les anciens combattants;Formation en milieu de travail;Ateliers et soutien pour chercheurs d’emploi (CV, entrevues, recherche d’emploi);Services pour les employeurs (recrutement, formation, rétention d’employés)","Personnes en recherche d’emploi (jeunes travailleurs, immigrants récents, personnes en reconversion professionnelle), employeurs et entreprises diversifiées","Edmonton|Prospect Human Services, Edmonton, AB|53.5629121|-113.5064321",1-877-483-2562,info@prospectnow.ca,https://www.prospectnow.ca,"emploi;formation;recherche d’emploi;inclusion;diversité;jeunes adultes;immigrants","RIFA",prospect,centre
prospect-6,"Prospect Human Services","emploi;formation professionnelle;ateliers;nouveaux arrivants;integration","Organisme bilingue à but non lucratif aidant les chercheurs d’emploi à surmonter les obstacles à l’emploi et soutenant les employeurs dans le recrutement, avec des services gratuits pour les résidents de l’Alberta.",,Kevin McNichol,Directeur général,"Soutien à l'emploi pour les personnes handicapées;Services pour les anciens combattants;Formation en milieu de travail;Ateliers et soutien pour chercheurs d’emploi (CV, entrevues, recherche d’emploi);Services pour les employeurs (recrutement, formation, rétention d’employés)","Personnes en recherche d’emploi (jeunes travailleurs, immigrants récents, personnes en reconversion professionnelle), employeurs et entreprises diversifiées","Strathmore|Prospect Human Services, Strathmore, AB|51.04248699999999|-113.395689",1-877-483-2562,info@prospectnow.ca,https://www.prospectnow.ca,"emploi;formation;recherche d’emploi;inclusion;diversité;jeunes adultes;immigrants","RIFA",prospect,sud
rafa-1,"Regroupement Artistique Francophone de l’Alberta (RAFA)","arts;culture;francophonie;formation professionnelle;defense des droits","Organisme représentant les artistes et organismes culturels francophones en Alberta, soutenant la création, la production, la diffusion et la promotion des œuvres, tout en offrant des services de formation et de représentation professionnelle.",2001,Raphaël Freynet,Directeur général,"Soutien aux artistes et organismes culturels (accompagnement, mentorat, développement de carrière);Promotion et diffusion des œuvres francophones;Reconnaissance artistique (Prix Martin-Lavoie, Prix Envol, Prix Lumière);Formation professionnelle pour artistes;Plaidoyer et représentation auprès des instances politiques et communautaires","Artistes et organismes culturels francophones de l’Alberta dans les domaines de la musique, théâtre, danse, arts visuels, littérature et médias","Edmonton|La Cité francophone, Edmonton, AB|53.522441|-113.4663024",780-462-0502,info@lerafa.ca,https://www.lerafa.ca,"arts;culture;francophonie;formation;promotion;représentation;artistique","RIFA",rafa,centre
rsa-1,"Réseau santé Alberta (RSA)","sante;francophonie;bien etre;services sociaux;vie communautaire","Organisme chef de file en santé en Alberta, visant à renforcer l'accès aux services de santé en français, promouvoir le mieux-être et faciliter la concertation entre les acteurs de la santé et les communautés francophones.",2004,Marie-Claude Coté,Directrice générale,"Appui, sensibilisation, concertation et mobilisation pour améliorer l’accès aux services de santé en français;Développement des capacités des groupes de santé, professionnels francophones et organismes/institutions francophones;Renforcement des liens avec les intervenants du domaine de la santé;Promotion de l’offre et de la demande active de services de santé en français (répertoires, sensibilisation, mobilisation)","Francophones de l’Alberta (familles, aînés, nouveaux arrivants, populations rurales, groupes vulnérables), professionnels de la santé, institutions et étudiants en santé, décideurs politiques et gestionnaires des services de santé","Edmonton|Siège social, Edmonton, AB|53.59923629999999|-113.6562626",780-466-9816,info@rsa-ab.ca,https://rsa-ab.ca,"santé;services sociaux;francophonie;communauté;professionnels de santé;mobilisation","RIFA",rsa,centre
shfa-1,"Société historique francophone de l’Alberta","histoire;patrimoine;francophonie;education;culture","Organisme provincial à but non lucratif dédié à la protection, au rayonnement et à la représentation du patrimoine et de l’histoire franco-albertaine, avec des initiatives pédagogiques et numériques pour valoriser l’histoire de la francophonie en Alberta.",2012,Denis Perreaux,Directeur général,"Service de référencement historique pour guider les chercheurs;Ressources pédagogiques pour enseignants et élèves;Numérisation et préservation d’archives historiques;Organisation d’événements (conférences, expositions, ateliers);Collaboration avec des partenaires pour promouvoir le patrimoine francophone","Francophones et francophiles intéressés par le patrimoine historique, chercheurs, étudiants, enseignants, et toute personne souhaitant découvrir l’histoire francophone de l’Alberta","Edmonton|Siège social, Edmonton, AB|53.59923629999999|-113.6562626",587-986-2342,info@shfa.ca,https://histoireab.ca,"patrimoine;culture;francophonie;histoire;archives;éducation","RIFA",shfa,centre
wcg-0,"WCG Services","emploi;formation professionnelle;carriere;services sociaux;francophonie","Entreprise spécialisée dans les services d'emploi et de formation professionnelle, offrant un accompagnement personnalisé aux chercheurs d’emploi et aux employeurs, incluant réhabilitation professionnelle et soutien aux populations vulnérables.",2016,Tania Bennett,Directrice générale,"Accompagnement à l’emploi : coaching, rédaction CV/lettres, préparation aux entretiens, plan de carrière;Programmes spécialisés : WorkBC, WorkConnect, orientation professionnelle, soutien post-placement;Réhabilitation professionnelle : services pour anciens combattants et personnes avec difficultés de santé ou juridiques;Support employeurs : présélection de candidats, jumelage selon postes, subventions salariales, recrutement inclusif","Personnes faisant face à des défis d’emploi ou de réinsertion (nouveaux arrivants, réfugiés, personnes handicapées, jeunes avec obstacles à l’emploi, Autochtones, parents seuls, bénéficiaires d’aide sociale), ainsi que les employeurs et partenaires locaux","Calgary|Bureaux régionaux, Calgary, AB|51.04473309999999|-114.0718831",1-888-354-7540,info@wcgservices.com,https://www.wcgservices.com,"emploi;formation;réhabilitation;francophonie;inclusion;coaching;jeunes;anciens combattants","RIFA",wcg,sud
wcg-1,"WCG Services","emploi;formation professionnelle;carriere;services sociaux;francophonie","Entreprise spécialisée dans les services d'emploi et de formation professionnelle, offrant un accompagnement personnalisé aux chercheurs d’emploi et aux employeurs, incluant réhabilitation professionnelle et soutien aux populations vulnérables.",2016,Tania Bennett,Directrice générale,"Accompagnement à l’emploi : coaching, rédaction CV/lettres, préparation aux entretiens, plan de carrière;Programmes spécialisés : WorkBC, WorkConnect, orientation professionnelle, soutien post-placement;Réhabilitation professionnelle : services pour anciens combattants et personnes avec difficultés de santé ou juridiques;Support employeurs : présélection de candidats, jumelage selon postes, subventions salariales, recrutement inclusif","Personnes faisant face à des défis d’emploi ou de réinsertion (nouveaux arrivants, réfugiés, personnes handicapées, jeunes avec obstacles à l’emploi, Autochtones, parents seuls, bénéficiaires d’aide sociale), ainsi que les employeurs et partenaires locaux","Edmonton|Bureaux régionaux, Edmonton, AB|53.5461663|-113.4937355",1-888-354-7540,info@wcgservices.com,https://www.wcgservices.com,"emploi;formation;réhabilitation;francophonie;inclusion;coaching;jeunes;anciens combattants","RIFA",wcg,centre
